function,tests
positionIsOnSegment,6,0
copyVertices,0,0
createElement,10,0
moveElement,14,0
renderDrawing,7,0
validElement,11,0
isOnOutline,9,0
isInRectangle,3,0
validElementType,4,0
validPosition,12,0
createAction,13,0
getNextValidId,5,0
__,__
allDifferent,5,0
firstElemInPosition,0,0
createAction,8,1
renderDrawing,1,0
isInvalidCommand,16,0
createElement,6,1
isValidElement,4,0
isInvalidPosition,0,0
getSecondEssentialPosition,4,0
moveElement,6,3
